Country/Region,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Population 2019,Max Change
Prince Edward Island (Canada),7.278,1.365,1.505,1.039,0.584,158334,7.0
Qatar,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,2832071,957.0
Qinghai (China),5.191,1.029,1.125,0.893,0.521,6030000,5.0
Quebec (Canada),7.278,1.365,1.505,1.039,0.584,8540420,1843.0
Queensland (Australia),7.228,1.372,1.548,1.036,0.557,5046000,78.0
Reunion (France),6.5920000000000005,1.324,1.472,1.045,0.436,888927,41.0
Romania,6.07,1.162,1.232,0.825,0.462,19364558,523.0
Russia,5.648,1.183,1.452,0.726,0.334,145872256,7099.0
Rwanda,3.334,0.359,0.711,0.614,0.555,12626938,22.0
Saint Barthelemy (France),6.5920000000000005,1.324,1.472,1.045,0.436,9816,3.0
Saskatchewan (Canada),7.278,1.365,1.505,1.039,0.584,1176272,39.0
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,34268529,1351.0
Senegal,4.681,0.45,1.134,0.5710000000000001,0.292,16296362,87.0
Serbia,5.603,1.004,1.383,0.8540000000000001,0.282,8772228,2379.0
Shaanxi (China),5.191,1.029,1.125,0.893,0.521,38640000,24.0
Shandong (China),5.191,1.029,1.125,0.893,0.521,100470000,203.0
Shanghai (China),5.191,1.029,1.125,0.893,0.521,24240000,52.0
Shanxi (China),5.191,1.029,1.125,0.893,0.521,37180000,25.0
Sichuan (China),5.191,1.029,1.125,0.893,0.521,83410000,35.0
Sierra Leone,4.374,0.268,0.841,0.242,0.309,7813207,20.0
Singapore,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,5804343,1426.0
Sint Maarten (Netherlands),7.487999999999999,1.396,1.5219999999999998,0.999,0.557,42388,12.0
Slovakia,6.198,1.246,1.504,0.8809999999999999,0.334,5457012,114.0
Slovenia,6.1179999999999986,1.258,1.523,0.953,0.564,2078654,70.0
Somalia,4.668,0.0,0.698,0.268,0.5589999999999999,15442906,73.0
South Africa,4.722,0.96,1.351,0.469,0.389,58558267,354.0
South Australia (Australia),7.228,1.372,1.548,1.036,0.557,1731000,65.0
Spain,6.354,1.286,1.484,1.062,0.362,46736782,9630.0
Sri Lanka,4.3660000000000005,0.949,1.265,0.831,0.47,21323734,65.0
St Martin (France),6.5920000000000005,1.324,1.472,1.045,0.436,38002,8.0
Sweden,7.343,1.3869999999999998,1.487,1.009,0.574,10036391,812.0
Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,8591361,1321.0
Syria,3.462,0.619,0.378,0.44,0.013,17070135,6.0
Tanzania,3.2310000000000003,0.476,0.885,0.499,0.417,58005463,181.0
Tasmania (Australia),7.228,1.372,1.548,1.036,0.557,522327,21.0
Thailand,6.007999999999999,1.05,1.409,0.828,0.557,69625581,188.0
Tianjin (China),5.191,1.029,1.125,0.893,0.521,15600000,12.0
Tibet (China),5.191,1.029,1.125,0.893,0.521,3440000,1.0
Togo,4.085,0.275,0.5720000000000001,0.41,0.293,8082359,14.0
Tunisia,4.461,0.921,1.0,0.815,0.16699999999999998,11694721,82.0
Turkey,5.372999999999998,1.183,1.36,0.8079999999999999,0.195,83429607,5138.0
Turks and Caicos Islands (United Kingdom),7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,38191,4.0
Uganda,4.189,0.332,1.069,0.443,0.35600000000000004,44269587,11.0
Ukraine,4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,43993643,578.0
United Arab Emirates,6.825,1.503,1.31,0.825,0.598,9770526,552.0
United Kingdom,7.0539999999999985,1.3330000000000002,1.538,0.996,0.45,67530161,8681.0
Uruguay,6.292999999999998,1.124,1.465,0.8909999999999999,0.523,3461731,48.0
Uzbekistan,6.174,0.745,1.529,0.7559999999999999,0.631,32981715,167.0
Venezuela,4.707,0.96,1.4269999999999998,0.805,0.154,28515829,29.0
Victoria (Australia),7.228,1.372,1.548,1.036,0.557,6280000,126.0
Vietnam,5.175,0.741,1.346,0.851,0.5429999999999999,96462106,19.0
Western Australia (Australia),7.228,1.372,1.548,1.036,0.557,2720000,56.0
Xinjiang (China),5.191,1.029,1.125,0.893,0.521,24870000,6.0
Yukon (Canada),7.278,1.365,1.505,1.039,0.584,41668,3.0
Yunnan (China),5.191,1.029,1.125,0.893,0.521,48300000,18.0
Zambia,4.107,0.578,1.058,0.426,0.431,17861034,9.0
Zhejiang (China),5.191,1.029,1.125,0.893,0.521,57370000,132.0
Zimbabwe,3.663,0.366,1.114,0.433,0.361,14645473,8.0
