Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Positive Cases per 1M in 1st Month of Infection
6.1979999999999995,1.246,1.504,0.8809999999999999,0.33399999999999996,88.87647672389213
6.117999999999999,1.258,1.5230000000000001,0.953,0.564,470.0156928473907
4.668,0.0,0.698,0.268,0.5589999999999999,5.180372139803222
4.7219999999999995,0.96,1.351,0.469,0.389,27.06705784172199
7.228,1.3719999999999999,1.548,1.036,0.557,1.733102253032929
6.354,1.286,1.484,1.062,0.36200000000000004,2.567570869556231
4.3660000000000005,0.9490000000000001,1.265,0.831,0.47,0.046896101780297954
6.5920000000000005,1.324,1.472,1.045,0.436,842.0609441608336
7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,1.3949237330430828
7.48,1.452,1.526,1.052,0.5720000000000001,1374.7530804490698
3.4619999999999997,0.619,0.37799999999999995,0.44,0.013000000000000001,2.4604374833590947
3.2310000000000003,0.47600000000000003,0.885,0.499,0.41700000000000004,1.5170984843272435
7.228,1.3719999999999999,1.548,1.036,0.557,132.10115502357718
6.007999999999999,1.05,1.409,0.828,0.557,0.5026888034155148
5.191,1.0290000000000001,1.125,0.893,0.521,8.461538461538462
5.191,1.0290000000000001,1.125,0.893,0.521,0.29069767441860467
4.085,0.275,0.5720000000000001,0.41,0.293,5.443955162100569
4.461,0.9209999999999999,1.0,0.815,0.16699999999999998,42.326790010638135
5.372999999999999,1.183,1.36,0.8079999999999999,0.195,563.6967701406048
7.053999999999999,1.3330000000000002,1.538,0.996,0.45,314.21015422481736
4.189,0.332,1.069,0.44299999999999995,0.35600000000000004,1.2649767886924266
4.332,0.82,1.39,0.7390000000000001,0.17800000000000002,20.38930942818261
6.825,1.5030000000000001,1.31,0.825,0.598,1.9446240662989893
7.053999999999999,1.3330000000000002,1.538,0.996,0.45,0.533095130633555
6.292999999999999,1.124,1.465,0.8909999999999999,0.523,138.658954147506
6.1739999999999995,0.745,1.5290000000000001,0.7559999999999999,0.631,35.3226022358146
4.707,0.96,1.4269999999999998,0.805,0.154,6.627897789680251
7.228,1.3719999999999999,1.548,1.036,0.557,0.6369426751592356
5.175,0.741,1.3459999999999999,0.851,0.5429999999999999,0.16586824260295538
7.228,1.3719999999999999,1.548,1.036,0.557,130.51470588235296
5.191,1.0290000000000001,1.125,0.893,0.521,3.05589063128267
7.278,1.365,1.505,1.0390000000000001,0.584,263.9915522703273
5.191,1.0290000000000001,1.125,0.893,0.521,3.602484472049689
4.107,0.578,1.058,0.426,0.431,2.9113656017899077
5.191,1.0290000000000001,1.125,0.893,0.521,20.969147638138402
3.6630000000000003,0.366,1.114,0.433,0.361,1.7070121258630568
